,Results Management File,,,,,,,,,,,
,Code:,BIT322,,,,,,,,,,
,Course:,Distributed System Development,,,,,,,,,,
,,,,,,,,,,,,
Mod. Code,Student ID,Student Name,Email,Prog,Mode,Assignment,CAT1,CAT2,Exam,Total,Grade,Remark
BIT322,102004,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Distance,14,13,32,59,D+,
BIT322,132095,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Day,15,15,41,71,B,
BIT322,131201,Pamela Hern,ph131201@students.cavendish.ac.ug,BIT,,Distance,17,17,29,63,C,
BIT322,100234,Pamela Hern,ph100234@students.cavendish.ac.ug,BIT,,Day,19,19,32,70,B,
BIT322,103032,Pamela Hern,ph103032@students.cavendish.ac.ug,BIT,,Distance,13,14,41,68,C+,
BIT322,100423,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Day,14,13,29,56,D+,
BIT322,100942,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Distance,15,15,32,62,C,
BIT322,100530,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Day,17,17,41,75,B+,
BIT322,120420,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Distance,19,19,29,67,C+,
BIT322,154023,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Day,13,14,32,59,D+,
BIT322,186920,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Distance,14,13,41,68,C+,
BIT322,103942,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Day,15,15,29,59,D+,
BIT322,142032,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Distance,17,17,32,66,C+,
BIT322,112925,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Day,19,19,41,79,B+,
BIT322,172949,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Distance,13,14,29,56,C+,
BIT322,193242,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Day,14,13,32,59,C+,
BIT322,141692,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Distance,15,15,41,71,B,
BIT322,149382,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Day,17,17,29,63,C,
BIT322,190493,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Distance,19,19,32,70,B,
BIT322,203929,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Day,13,14,41,68,C+,
BIT322,295934,Joshua Seal,js102004@students.cavendish.ac.ug,BIT,,Distance,14,13,29,56,D+,
BIT322,256484,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Day,15,15,32,62,C,
BIT322,258949,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Distance,17,17,41,75,B+,
BIT322,144293,Pamela Hern,ph132095@students.cavendish.ac.ug,BIT,,Day,19,19,29,67,C+,
